N°,NOMBRE DE BARRIO O COLONIA,neighborhood,CIUDAD,TIPO O COLONIA,SE CT O R,ZONIFICA CIÓN,approval_year,DICTAMEN / ACUERDO DE APROBACION,PARAMETROS  MINIMOS (APROBADOS EN DICTAMEN/ACUERDO)
206,VISTALI   (CERRO GRANDE ZONA 8),VISTALI (CERRO GRANDE ZONA 8),TEGUCIGALPA,Barrio/Colonia,8,R3,2012,"DICTAMEN No. 12-0058-AMDC- GCC DE FECHA 21 DE SEPTIEMBRE DEL 2012
(PLANO Y DICTAMEN).",R3=120M²/7ML
207,RES. RAFAEL BARDALES BUESO INPREMA /COL RIO ALTO,RES. RAFAEL BARDALES BUESO INPREMA /COL RIO ALTO,TEGUCIGALPA,Barrio/Colonia,9,R2-R3,1991,"DICTAMEN- SCU-DM-AMDC 018-91 DE
FECHA 4 DE FEBRERO DE 1991
(DICTAMEN).",R3=120M²/7ML
208,21 DE OCTUBRE,21 DE OCTUBRE,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
209,BOLIVAR,BOLIVAR,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
210,CAMINO AL HATILLO,CAMINO AL HATILLO,TEGUCIGALPA,Barrio/Colonia,9,HATILLO,,,
211,CANAAN,CANAAN,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
212,CERRITOS,CERRITOS,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
213,COL NUEVA SANTA ROSA,COL NUEVA SANTA ROSA,TEGUCIGALPA,Barrio/Colonia,9,R4,1982,"DICTAMEN No. 0005-82 19 DE
ENERO DE 1982
(DICTAMEN).",R4=45M²/3.5ML
214,EL CHIMBO,EL CHIMBO,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
215,EL PILIGUÍN (COLONIA EL TRIGO),EL PILIGUÍN (COLONIA EL TRIGO),TEGUCIGALPA,Barrio/Colonia,9,HATILLO,,,
216,EL REPARTO,EL REPARTO,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
217,EL RINCON,EL RINCON,TEGUCIGALPA,Barrio/Colonia,9,"R3/HATIL
LO",,,
218,EL TRIGO,EL TRIGO,TEGUCIGALPA,Barrio/Colonia,9,HATILLO,,,
219,"FERNANDO
CALDERON",FERNANDO CALDERON,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
220,GIRASOLES,GIRASOLES,TEGUCIGALPA,Barrio/Colonia,9,R3,2004,"DICT NO. SCU- 036-2004 DE
FECHA 9 DE JUNIO DEL 2004. (PLANO Y DOCUMENTO).",R3=120M²/7ML
221,GUILLEN,GUILLEN,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
222,INDEPENDENCIA PORTILLO,INDEPENDENCIA PORTILLO,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
223,JARDIN,JARDIN,TEGUCIGALPA,Barrio/Colonia,9,R3-R4,2006,"DICTAMEN No. SCU-DM-AMDC- 020-2006 DE
FECHA 29 DE MARZO DEL 2006
(DICTAMEN).",R4=75M²/7ML; R3=120M²/10ML
224,JOSE SIMON AZCONA,JOSE SIMON AZCONA,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
225,LA FLORIDA,LA FLORIDA,TEGUCIGALPA,Barrio/Colonia,9,R4,2004,"DICTAMEN No. SCU-DM-AMDC 063-2005 DE
FECHA 18 DE OCTUBRE DEL 2004 (PLANO Y
DOCUMENTO).",R4=45M²/3.5ML
226,LA JOYA,LA JOYA,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
227,"LA LEONA DEL
RINCON",LA LEONA DEL RINCON,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
228,LA TIGRA,LA TIGRA,TEGUCIGALPA,Barrio/Colonia,9,AR,,,
229,LAS JOYAS,LAS JOYAS,TEGUCIGALPA,Barrio/Colonia,9,R4,1982,"DICTAMEN No.022-82 DE FECHA 16 DE FEBRERO DE 1982
(DICTAMEN).",R4=45M²/3.5ML
230,LAS PAVAS,LAS PAVAS,TEGUCIGALPA,Barrio/Colonia,9,R4,1991,"DICTAMEN No. 190-91 DE
FECHA 20 DE NOVIEMBRE DE 1991 SOLO
DICTAMEN.",R4=45M²/3.5ML
231,"LOMAS DE LAS
MINITAS",LOMAS DE LAS MINITAS,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
232,MARICHAL,MARICHAL,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
233,MODESTO RODAS ALVARADO,MODESTO RODAS ALVARADO,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
234,REPARTO POR ARRIBA,REPARTO POR ARRIBA,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
235,REPARTO POR BAJO,REPARTO POR BAJO,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
236,RES. PINARES,RES. PINARES,TEGUCIGALPA,Barrio/Colonia,9,HATILLO,,,
237,RES. VILLA DELMY,RES. VILLA DELMY,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
238,RIO ALTO 2004,RIO ALTO 2004,TEGUCIGALPA,Barrio/Colonia,9,R2,2004,"DICTAMEN No. SCU-DM-AMDC- 039-2004   DE
FECHA 09 DE AGOSTO DEL 2004 (PLANO Y
DICTAMEN).",R2= 150M²/8ML
239,SABANA DEL RINCON,SABANA DEL RINCON,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
240,SANTA MARGARITA,SANTA MARGARITA,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
241,SITIO ARRIBA,SITIO ARRIBA,TEGUCIGALPA,Barrio/Colonia,9,R3,,,
242,SUAZO CORDOBA,SUAZO CORDOBA,TEGUCIGALPA,Barrio/Colonia,9,R4,2001,"DICTAMEN No. SCU-DM-AMDC- 019-2001 DE
FECHA 10 DE
MAYO DEL 2001
(PLANO Y DICTAMEN).",R4=45M²/3.5ML
243,VILLA DELMY,VILLA DELMY,TEGUCIGALPA,Barrio/Colonia,9,R4,1998,"MODIFICACION BAJO DICTAMEN 18-
98 DE FECHA
04 DE AGOSTO
DE 1998 (DOCUMENTO).",R4=60M²/6ML
244,VILLA LA ESTANZUELA,VILLA LA ESTANZUELA,TEGUCIGALPA,Barrio/Colonia,9,HATILLO,,,
245,VILLA SANTA MARGARITA,VILLA SANTA MARGARITA,TEGUCIGALPA,Barrio/Colonia,9,R3,2002,"DICTAMEN No. SCU_DM-AMDC- 004-2002 APROBADO DE FECHA 23 DE AGOSTO DEL
2002 DICTAMEN Y PLANO.",R3=120M²/7ML
246,VILLAS DEL RIO,VILLAS DEL RIO,TEGUCIGALPA,Barrio/Colonia,9,R4,1986,"ACUERDO No. 758 DE FECHA
07 DE ENERO
DE 1986 (PLANO Y DICTAMEN ).",R4=60M²/6ML
247,ALAMEDA,ALAMEDA,TEGUCIGALPA,Barrio/Colonia,10,D3,,,
248,BALDIO (SABANAGRANDE),BALDIO (SABANAGRANDE),TEGUCIGALPA,Barrio/Colonia,10,R3,,,
249,BRISAS DEL VALLE,BRISAS DEL VALLE,TEGUCIGALPA,Barrio/Colonia,10,R3,,,
250,CASTAÑO SUR,CASTAÑO SUR,TEGUCIGALPA,Barrio/Colonia,10,R1,1955,"ACUERDO No. 218-55 DE
FECHA 15 DE
JUNIO DE 1955 (ACUERDO).",R1=400M²/15ML
251,COL EL TRIANGULO,COL EL TRIANGULO,TEGUCIGALPA,Barrio/Colonia,10,R1,1988,"DICTAMEN No. 117-88 DE
FECHA   7 DE SEPTIEMBRE
DE 1988 (PLANO Y DICTAMEN).",R1=400M²/15ML
252,COL LOMAS DEL GUIJARRO,COL LOMAS DEL GUIJARRO,TEGUCIGALPA,Barrio/Colonia,10,R1,2001,"DICTAMEN No. SCU-DM-AMDC 052-2001 DE
FECHA 2 DE OCTUBRE DEL 2001
(DICTAMEN).",R1=400M²/15ML
253,COL TEPEYAC,COL TEPEYAC,TEGUCIGALPA,Barrio/Colonia,10,R1,,"DICTAMEN No.DM-AMDC
48-88 DE",R1=400M²/15ML
254,COL. PAYAQUI,COL. PAYAQUI,TEGUCIGALPA,Barrio/Colonia,10,R1,,,
255,CRUZ   LARGA,CRUZ LARGA,TEGUCIGALPA,Barrio/Colonia,10,D1,1980,"DICTAMEN No. 0024 DE FECHA
26 DE MARZO
DE 1980 (DICTAMEN).",D1=400M²/15ML
256,LA AURORA,LA AURORA,TEGUCIGALPA,Barrio/Colonia,10,R1,,,
257,LA CUMBRE,LA CUMBRE,TEGUCIGALPA,Barrio/Colonia,10,R1,,,
258,LAS MARIAS,LAS MARIAS,TEGUCIGALPA,Barrio/Colonia,10,R1,2007,"DICTAMEN No. SCU/GM/AMDC
/045/2007 DE FECHA 31 DE AGOSTO DEL 2007 (PLANO Y
DICTAMEN).",R1=150M²/7.5ML
259,LAS MINITAS,LAS MINITAS,TEGUCIGALPA,Barrio/Colonia,10,R1,,,
260,LINDA VISTA,LINDA VISTA,TEGUCIGALPA,Barrio/Colonia,10,R1,,,
261,LOMA ALTA,LOMA ALTA,TEGUCIGALPA,Barrio/Colonia,10,R1,2002,"DICTAMEN No. SCU-DM-AMDC 090-2002 DE
FECHA 18 DE NOVIEMBRE DEL 2002 (PLANO Y
DICTAMEN).",R1=400M²/15ML
262,LOMAS DEL CASTAÑO,LOMAS DEL CASTAÑO,TEGUCIGALPA,Barrio/Colonia,10,R1,1991,"PLANO APROB BAJO ACUERDO NO.057 DE FECHA   27 DE FEBRERO DE
1991 (PLANO).",R1= 400M²/15ML
263,LOMAS DEL CASTAÑO,LOMAS DEL CASTAÑO,TEGUCIGALPA,Barrio/Colonia,10,R1,,,
264,LOMAS DEL GUIJARRO,LOMAS DEL GUIJARRO,TEGUCIGALPA,Barrio/Colonia,10,R1,2001,"DIC 030-2004 DE FECHA 9 DE JUNIO DEL 2004 (PLANO).
DICTAMEN No SCU-DM-AMDC 052-2001 DE
FECHA 2 DE OCTUBRE DEL 2001 (PLANO Y
DICTAMEN).",R1=400M²/15ML
265,LOMAS DEL MAYAB,LOMAS DEL MAYAB,TEGUCIGALPA,Barrio/Colonia,10,R1,1992,"DICTAMEN DE ANTEPROYECTO 145-92   DE
FECHA 17 DE
JULIO DE 1992 (DICTAMEN).",R1=400M²/15ML
266,LOS ALMENDROS,LOS ALMENDROS,TEGUCIGALPA,Barrio/Colonia,10,R1,,,
267,MONTECARLOS,MONTECARLOS,TEGUCIGALPA,Barrio/Colonia,10,R1,,,
268,PORTAL DEL CASTAÑO,PORTAL DEL CASTAÑO,TEGUCIGALPA,Barrio/Colonia,10,R1,2004,"DICTAMEN No. SCU-DM-AMDC 026-2004 DE
FECHA 11 DE
MAYO DEL 2004 (DICTAMEN).",R1= 496-98M²
269,REPARTO MANDOFER,REPARTO MANDOFER,TEGUCIGALPA,Barrio/Colonia,10,D1,,,
270,RUBEN DARIO,RUBEN DARIO,TEGUCIGALPA,Barrio/Colonia,10,R1,,,
271,SABANAGRANDE,SABANAGRANDE,TEGUCIGALPA,Barrio/Colonia,10,R3,,,
272,VILLA AURORA,VILLA AURORA,TEGUCIGALPA,Barrio/Colonia,10,R3,2003,"DICTAMEN 052-
2003 DE FECHA
23 DE OCTUBRE DEL 2003 (PLANO Y
DICTAMEN).",R3=120M²/10ML
273,ALTOS DE MIRAMONTES,ALTOS DE MIRAMONTES,COMAYAGÜELA,Barrio/Colonia,11,R1,2002,"DICTAMEN No.17/2002 DE FECHA 24 DE ENERO DEL 2002. (PLANO Y
DICTAMEN).",R1=400M²
274,COL PEREZ,COL PEREZ,COMAYAGÜELA,Barrio/Colonia,11,R1,1983,"ACUERDO No.340 DE FECHA 10 DE FEBRERO DE 1983
(ACUERDO).",R1=400M²/15ML
275,COMPLEJO HABITACIONAL LA HUMUYA (CONDOMINIO HORIZONTAL),COMPLEJO HABITACIONAL LA HUMUYA (CONDOMINIO HORIZONTAL),COMAYAGÜELA,Barrio/Colonia,11,R3,,,
276,ELVEL,ELVEL,TEGUCIGALPA/ COMAYAGUELA,Barrio/Colonia,11,R2,1990,"REGISTRADO BAJO EL NO. 178-90 DE
FECHA   23 DE
ENERO DE 1990 (PLANO).",R2=200M²/10ML
277,HUMUYA,HUMUYA,COMAYAGÜELA,Barrio/Colonia,11,R3,2016,"DICTAMEN No. 16-054-GCC- AMDC DE FECHA 16 DE JUNIO DEL
2016. (PLANO Y DOCUMENTO).",R3=120M²/7ML
278,LOMA LINDA NORTE,LOMA LINDA NORTE,TEGUCIGALPA/ COMAYAGUELA,Barrio/Colonia,11,R1,1977,"REGISTRADO BAJO EL No. 272 DE FECHA
8 DE SEPTIEMBRE DE 1977
(PLANO).",R1=400M²/15ML
279,LOMA LINDA SUR,LOMA LINDA SUR,TEGUCIGALPA/ COMAYAGUELA,Barrio/Colonia,11,R1,,,
280,MIRAMONTE I ETAPA,MIRAMONTE I ETAPA,TEGUCIGALPA/ COMAYAGUELA,Barrio/Colonia,11,R2,,,
281,MIRAMONTE II ETAPA,MIRAMONTE II ETAPA,TEGUCIGALPA/ COMAYAGUELA,Barrio/Colonia,11,R2,,,
282,PRADO,PRADO,COMAYAGÜELA,Barrio/Colonia,11,R1,,,
283,QUEZADA,QUEZADA,TEGUCIGALPA/ COMAYAGUELA,Barrio/Colonia,11,R2,,,
284,SAN RAFAEL,SAN RAFAEL,TEGUCIGALPA/ COMAYAGUELA,Barrio/Colonia,11,R2,,,
285,ALAMO,ALAMO,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
286,ALTOS DE LA GRANJA,ALTOS DE LA GRANJA,COMAYAGÜELA,Barrio/Colonia,12,R4,1995,"REGISTRADO BAJO EL No.0491-95 DE FECHA 17 DE
ABRIL DE 1995
(PLANO).",R4=45M²/3.5ML
287,ALTOS DE TILOARQUE,ALTOS DE TILOARQUE,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
288,ATLANTIC,ATLANTIC,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
289,BARRIO EL MIRADOR,BARRIO EL MIRADOR,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
290,CAMPO COCA COLA,CAMPO COCA COLA,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
291,CASERIO TILOARQUE,CASERIO TILOARQUE,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
292,"COL NUEVO
AMANECER",COL NUEVO AMANECER,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
293,COL OSCAR CASTRO,COL OSCAR CASTRO,COMAYAGÜELA,Barrio/Colonia,12,R4,2013,"PLANO APROBADO BAJO RESOLUCION NO.12 DE FECHA 23 DE
JULIO DEL 2013 (PLANO).",R4=45M²/3.5ML
294,COL. MARIA CRISTINA,COL. MARIA CRISTINA,COMAYAGÜELA,Barrio/Colonia,12,R4,1985,"ACUERDO No 600 DE FECHA
08 DE MAYO DE
1985 (PLANO Y DICTAMEN).",R4=60M²/6ML
295,CONTADOR,CONTADOR,COMAYAGÜELA,Barrio/Colonia,12,R4,1985,"ACUERDO No. 733 DE FECHA
25 DEMARZO
DE 1985 (DICTAMEN).",R4=150M²/10ML
296,EL TREBOL,EL TREBOL,COMAYAGÜELA,Barrio/Colonia,12,R2,1981,"DICTAMEN No. 0158-81   DE
FECHA   8 DE
JUNIO DE 1981 (DICTAMEN).",R2=150M²/10ML
297,GUACERIQUE,GUACERIQUE,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
298,LA BOLSA,LA BOLSA,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
299,LA GRANJA,LA GRANJA,COMAYAGÜELA,Barrio/Colonia,12,R1,,,
300,LA PRADERA,LA PRADERA,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
301,LA PRIMAVERA,LA PRIMAVERA,COMAYAGÜELA,Barrio/Colonia,12,R1,,,
302,LOMAS DE TILOARQUE (PLAN DE LAS LOMAS),LOMAS DE TILOARQUE (PLAN DE LAS LOMAS),COMAYAGÜELA,Barrio/Colonia,12,R4,1999,"DICTAMEN No. S CU-DM-AMDC 036-99 DE
FECHA 15 DE
JUNIO DE 1999 SOLO
DICTAMEN.",R4=45M²/3.5ML
303,LOMAS DE TILOARQUE ETAPA 1,LOMAS DE TILOARQUE ETAPA 1,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
304,LOMAS DE TILOARQUE ETAPA 2,LOMAS DE TILOARQUE ETAPA 2,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
305,MARADIAGA,MARADIAGA,COMAYAGÜELA,Barrio/Colonia,12,R1,1964,"ACUERDO No. 130-1964 EN
FECHA 01 DE
JUNIO DE 1964",R1=400M²/15ML
306,MARIA CRISTINA,MARIA CRISTINA,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
307,MIRADOR TILOARQUE 2005,MIRADOR TILOARQUE 2005,COMAYAGÜELA,Barrio/Colonia,12,R4,2005,"DICTAMEN No. SCU-DM-AMDC 022-2005 DE
FECHA 25 DE
ABRIL DEL 2005 (PLANO Y DICTAMEM).",R4=75M²/7ML
308,MIRAFLOR,MIRAFLOR,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
309,NUEVA ESPERANZA,NUEVA ESPERANZA,COMAYAGÜELA,Barrio/Colonia,12,R4,1999,"DICTAMEN No. SCU-DM-AMDC 016-99 DE
FECHA 4 DE
JUNIO DE 1999 (DICTAMEN).",R4=75M²/7ML
310,NUEVO AMANECER,NUEVO AMANECER,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
311,"OSCAR CASTRO
TEJEDA",OSCAR CASTRO TEJEDA,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
312,"PERITOS MERCANTILES (EL
CONTAD)",PERITOS MERCANTILES (EL CONTAD),COMAYAGÜELA,Barrio/Colonia,12,R3,,,
313,PRIMAVERA,PRIMAVERA,COMAYAGÜELA,Barrio/Colonia,12,R4,1981,DICTAMEN NO.0334-81 DE FECHA 13 DE NOVIEMBRE DE 1981. (DICTAMEN).,R4=60M²/6ML
314,REPUBLICA DE VENEZUELA,REPUBLICA DE VENEZUELA,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
315,SAN JORGE,SAN JORGE,COMAYAGÜELA,Barrio/Colonia,12,R1,,,
316,TILOARQUE NO. 1,TILOARQUE NO. 1,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
317,TILOARQUE NO. 2,TILOARQUE NO. 2,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
318,TILOARQUE NORTE,TILOARQUE NORTE,COMAYAGÜELA,Barrio/Colonia,12,R3,,,
319,VILLA ESPAÑOLA,VILLA ESPAÑOLA,COMAYAGÜELA,Barrio/Colonia,12,R4,1985,"ACUERDO No. 598-1985 DE
FECHA   8 DE
MAYO DEL 1985 (PLANO Y ACUERDO).",R4=60M²/6ML
320,VILLAS DE TILOARQUE,VILLAS DE TILOARQUE,COMAYAGÜELA,Barrio/Colonia,12,R4,2003,"DICTAMEN No SCU/DM/AMDC
/51/2003 DE FECHA   22 DE OCTUBRE DEL 2003 (PLANO Y
DICTAMEN).",R4=75M²/7ML
321,VILLAS TILOARQUE SEGUNDA ETAPA,VILLAS TILOARQUE SEGUNDA ETAPA,COMAYAGÜELA,Barrio/Colonia,12,R4,2005,"DICTAMEN No SCU/DM/AMDC
/14/2005 DE FECHA 18 DE MARZO DEL 2005 (PLANO Y
DICTAMEN).",R4=75M²/7ML
322,19 DE SEPTIEMBRE,19 DE SEPTIEMBRE,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
323,21 DE FEBRERO,21 DE FEBRERO,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
324,23 DE JUNIO,23 DE JUNIO,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
325,25 DE ENERO,25 DE ENERO,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
326,ALTOS DE LA DIVANNA,ALTOS DE LA DIVANNA,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
327,ALTOS DE LA MAYANGLE,ALTOS DE LA MAYANGLE,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
328,"ALTOS DE LA
SOLEDAD",ALTOS DE LA SOLEDAD,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
329,ALTOS DE LOS LAURELES,ALTOS DE LOS LAURELES,COMAYAGÜELA,Barrio/Colonia,13,R4,2005,"DICTAMEN NO. 24-2005 DE
FECHA 10 DE MAYO DEL 2005.(PLANO Y
DICTAMEN)",R4=60M²/6ML
330,ALTOS DE SAN FRANCISCO,ALTOS DE SAN FRANCISCO,COMAYAGÜELA,Barrio/Colonia,13,R4,1990,"RESGISTRADO BAJO EL No.0224-90 DE FECHA   28 DE
NOVIEMBRE DE 1990 (PLANO).",R4=45M²/3.5ML
331,ALTOS DEL MILAGRO,ALTOS DEL MILAGRO,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
332,ARCIERY 1,ARCIERY 1,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
333,ARCIERY 2,ARCIERY 2,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
334,ARTURO QUEZADA,ARTURO QUEZADA,COMAYAGÜELA,Barrio/Colonia,13,R4,1990,"DICTAMEN No. 004-90 DE
FECHA 12 DE ENERIO DE 1990
(DICTAMEN).",R4=60M²/6ML
335,BARRIO LA SOLEDAD,BARRIO LA SOLEDAD,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
336,BENDECK,BENDECK,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
337,BRISAS DEL MOGOTE,BRISAS DEL MOGOTE,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
338,CEMENTERIO SANTA ANITA,CEMENTERIO SANTA ANITA,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
339,CENTROAMERICA ESTE TODAS LAS ETAPAS,CENTROAMERICA ESTE TODAS LAS ETAPAS,COMAYAGÜELA,Barrio/Colonia,13,R4,1987,"DICTAMEN No. 199-87 DE
FECHA 2 DE OCTUBRE DE 1987 (DICTAMEN).",R4=45M²/3.5ML
340,CENTROAMERICA OESTE TODAS LAS ETAPAS,CENTROAMERICA OESTE TODAS LAS ETAPAS,COMAYAGÜELA,Barrio/Colonia,13,R4,1996,"DICTAMEN No. AMDC-GCC- 0038-2012 DE
FECHA 26 DE JULIO DEL 2012(. (PLANO Y DICTAMEN).
DICTAMEN No. SCU-DM- 008-
96 DE FECHA
13 DE MAYO DE
1996 (DICTAMEN). DICTAMEN 039
-2001 DE
FECHA 2 DE AGOSTO DEL 2001 (PLANO Y DICTAMEN).",R3=45M²/3.5ML
341,CENTROAMERICANA,CENTROAMERICANA,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
342,CENTROAMERICANA FECOVIL,CENTROAMERICANA FECOVIL,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
343,CENTRO AMERICA OESTE BLOQUE Y-Y,CENTRO AMERICA OESTE BLOQUE Y-Y,COMAYAGÜELA,Barrio/Colonia,13,R3,2012,"DICTAMEN APROBACIÓN AMDC-GCC- 0038-2012 DE
FECHA 02 DE
AGOSTO DEL 2012.",R3=45M²/3ML
344,CIUDAD LEMPIRA,CIUDAD LEMPIRA,COMAYAGÜELA,Barrio/Colonia,13,R4,1959,"ACUERDO No. 103-1959 DE
FECHA 15 DE
JULIO DE 1959. (PLANO Y
DICTAMEN).",R4=60M²/6ML
345,CIUDAD LEMPIRA II ETAPA,CIUDAD LEMPIRA II ETAPA,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
346,COL 14 DE ENERO,COL 14 DE ENERO,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
347,COL 19 DE SEPTIEMBRE,COL 19 DE SEPTIEMBRE,COMAYAGÜELA,Barrio/Colonia,13,R4,2005,"DICTAMEN No. SCU/DM/AMDC
/057/2005 DE FECHA   23 DE SEPTIEMBRE DEL 2005(PLANO Y
DICTAMEN).",R4=45M²/3.5ML
348,COL 1ERO DE DICIEMBRE,COL 1ERO DE DICIEMBRE,COMAYAGÜELA,Barrio/Colonia,13,R4,2004,"DICTAMEN No. SCU-DM-AMDC- 045-2004 DE
FECHA   30 DE AGOSTO DEL 2004 (PLANO Y
DICTAMEN).",R4=45M²/3.5ML
349,COL 23 DE JUNIO,COL 23 DE JUNIO,COMAYAGÜELA,Barrio/Colonia,13,R4,2005,"DICTAMEN No. SCU/DM/AMDC
/053/2005 DE FECHA 01 DE SEPTIEMBRE DEL 2005 (PLANO Y
DICTAMEN).",R4=45M²/3.5ML
350,COL 25 DE ENERO,COL 25 DE ENERO,COMAYAGÜELA,Barrio/Colonia,13,R4,2006,"DICTAMEN No. SCU/DM/AMDC
/044/2006 DE FECHA   14 DE AGOSTO DEL 2006 (PLANO Y
DICTAMEN).",R4=45M²/3.5ML
351,COL IBERIA,COL IBERIA,COMAYAGÜELA,Barrio/Colonia,13,R4,2003,"ADENDUM NO.SCU-DM- AMDC 013-2003
DE FECHA 10 DE NOVIEMBRE DEL 2003
(ADENDUM).",R4=45M²/3.5ML
352,COL SANTA EDUVIGES,COL SANTA EDUVIGES,COMAYAGÜELA,Barrio/Colonia,13,R4,2002,"DICTAMEN 060-
2002 DE FECHA
24 DE SEPTIEMBRE DEL 2002 (PLANO).",R4=45M²/3.5ML
353,COL VENEZUELA,COL VENEZUELA,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
354,COLINA DE MAYANGLE,COLINA DE MAYANGLE,COMAYAGÜELA,Barrio/Colonia,13,R2,1989,"DICTAMEN No. 035-89 DE
FECHA 24 DE FEBRERO DE
1989 (DICTAMEN).",R2=200M²/10ML
355,COLUMBUS STALDI,COLUMBUS STALDI,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
356,COUNTRY CLUB,COUNTRY CLUB,COMAYAGÜELA,Barrio/Colonia,13,R2,2004,"ACUERDO 017-
2004 EN FECHA
8 DE MARZO
DEL 2004",R2=200M²/10ML
357,CRISTOBAL DIAZ,CRISTOBAL DIAZ,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
358,DAVID BETANCOURTH,DAVID BETANCOURTH,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
359,DIVANNA,DIVANNA,COMAYAGÜELA,Barrio/Colonia,13,R4,1994,"REGISTRADO BAJO EL No. 0452-94 DE
FECHA 24 DE
FEBRERO DE 1994 (PLANO).",R4=45M²/3.5ML
360,EL EDEN NO 1,EL EDEN NO 1,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
361,EL PROGRESO # 1,EL PROGRESO # 1,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
362,EL RETIRO,EL RETIRO,COMAYAGÜELA,Barrio/Colonia,13,R4,1989,"ACUERDO NO.4810 EN FECHA 1 DE DICIEMBRE DE
1989",R3=120M²/7ML
363,EMBALSE DE LA REPRESA LAURELES,EMBALSE DE LA REPRESA LAURELES,COMAYAGÜELA,Barrio/Colonia,13,AR,,,
364,ESPIRITU SANTO,ESPIRITU SANTO,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
365,FATIMA NRO. 1,FATIMA NRO. 1,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
366,FATIMA NRO. 2,FATIMA NRO. 2,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
367,FUENTE DE VIDA (NUEVA ALDEA),FUENTE DE VIDA (NUEVA ALDEA),COMAYAGÜELA,Barrio/Colonia,13,R3,,,
368,HOLLIWOOD,HOLLIWOOD,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
369,INSTALACIONES DEL SANAA,INSTALACIONES DEL SANAA,COMAYAGÜELA,Barrio/Colonia,13,R3,,,
370,INTERAMERICANA,INTERAMERICANA,COMAYAGÜELA,Barrio/Colonia,13,R2,2004,"DICTAMEN No. SCU-DM-AMDC- 017-2004 DE
FECHA 08 DE MARZO DEL 2004
(DICTAMEN).",R2=300M²/15ML
